,is_not_hispanic,is_male,preapproval_requested,loan_amount,loan_to_value_ratio,interest_only_payment,balloon_payment,income,log_loan_to_value_ratio,mid_debt_to_income_ratio,debt,derived_race_Asian,derived_race_Black or African American,derived_race_Minority Races,derived_race_White,debt_to_income_ratio_20%-<30%,debt_to_income_ratio_30%-<36%,debt_to_income_ratio_36%-<50%,debt_to_income_ratio_50%-60%,debt_to_income_ratio_<20%,debt_to_income_ratio_>60%,applicant_age_25-34,applicant_age_35-44,applicant_age_45-54,applicant_age_55-64,applicant_age_65-74,applicant_age_<25,applicant_age_>74,loan_type_Converntional,loan_type_FHA-insured,loan_type_VA-guaranteed,loan_purpose_Home Improvement,loan_purpose_Home Purchase,loan_purpose_Other Purpose,loan_purpose_Refinancing
7072,1.0,0.0,0.0,-0.10563131996364729,0.7591110024095358,0.23625225538129552,0.13698346380285525,-0.18195390471464545,0.6698338849845092,-0.9458847872158778,-0.4309950949065787,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7073,1.0,1.0,0.0,1.0333247376848849,0.24944769014942178,0.23625225538129552,0.13698346380285525,0.08431002340715615,0.3497116642523006,0.1187865792780793,0.32946877231028343,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7074,1.0,0.0,0.0,-0.19797910842163638,1.1601049538337012,0.23625225538129552,0.13698346380285525,-0.32952186487853546,0.891372999477862,0.1187865792780793,-0.49308062687265086,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7075,1.0,1.0,0.0,-0.875196223780223,0.5005100031360915,0.23625225538129552,0.13698346380285525,-0.1306259185706837,0.5134947189254181,0.1187865792780793,-0.09774680711031043,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7076,1.0,1.0,0.0,-0.4134572814902776,-1.5689796807688836,0.23625225538129552,0.13698346380285525,0.5687178926407952,-1.5083036205820977,-1.7648627614419987,-0.01988819405015509,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7077,1.0,1.0,0.0,0.17141204541031999,0.9596079781216184,0.23625225538129552,0.13698346380285525,0.055438031201177664,0.7835197781157976,0.1187865792780793,0.2720816049254275,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7078,1.0,0.0,0.0,-1.1214569930015272,-2.558472355303154,0.23625225538129552,0.13698346380285525,-0.11458592290069564,-4.621770468324147,-1.7648627614419987,-0.5560051525139401,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7079,1.0,0.0,0.0,-0.4134572814902776,-1.4063766334663845,0.23625225538129552,0.13698346380285525,-0.13704191683867892,-1.257004631821261,-0.9458847872158778,-0.3722655376413754,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7080,1.0,0.0,0.0,-1.0598918006962013,0.9589262884041975,0.23625225538129552,0.13698346380285525,-0.28781787613656656,0.7831434759612648,0.1187865792780793,-0.4101880517611924,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
7081,1.0,1.0,1.0,1.9568026222647756,0.35811705098537033,0.23625225538129552,-7.300151217078166,0.315285961054984,0.42217422558803436,0.1187865792780793,0.7885661113891304,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
