ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,1,0,0,2,3.0,90.36,0.0,0,5,1,3,3
0,2,1,1,0,1,1.0,70.0,0.0,0,4,1,2,2
0,1,1,1,0,1,1.0,63.32,0.0,0,2,2,5,2
0,1,1,0,0,1,3.0,104.91,0.0,0,4,1,3,1
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,4,2
0,1,1,1,0,1,1.0,65.9,1.0,0,4,2,4,2
0,2,1,1,0,1,1.0,70.0,0.0,0,4,2,4,2
1,1,1,1,0,1,1.0,105.0,0.0,0,3,1,2,1
0,3,1,0,0,2,3.0,129.63,0.0,0,4,3,2,1
0,3,1,0,0,1,1.0,87.56,0.0,0,5,3,3,3
0,1,1,1,0,1,3.0,75.0,0.0,0,4,2,4,2
1,1,1,0,0,1,3.0,80.0,0.0,0,4,3,4,2
0,1,1,0,0,1,1.0,95.0,0.0,0,5,2,3,3
0,1,1,1,0,1,2.0,48.23,0.0,0,2,3,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,2,1,3,2
0,3,1,0,0,1,3.0,99.54,0.0,0,6,2,3,4
0,2,0,0,0,1,3.0,74.82,0.0,0,6,2,1,2
1,1,0,1,0,1,1.0,96.53,0.0,0,4,2,2,4
0,2,1,0,0,1,3.0,68.05,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,80.0,0.0,0,2,2,4,2
0,1,1,0,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,3,1,1,0,1,1.0,80.0,0.0,0,2,3,3,2
0,1,1,1,0,1,3.0,80.0,1.0,0,4,2,5,2
1,1,1,0,0,1,1.0,75.0,0.0,0,6,2,2,2
0,1,1,1,0,2,3.0,91.94,0.0,0,4,1,3,3
0,1,1,0,0,1,2.0,76.43,0.0,0,4,3,4,2
0,1,1,1,0,1,3.0,86.77,0.0,0,4,2,3,3
0,1,0,1,0,1,3.0,68.85,0.0,0,4,2,4,2
0,2,0,1,0,1,3.0,70.0,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,80.0,0.0,0,4,3,1,2
0,2,1,1,0,1,1.0,58.58,0.0,0,4,2,4,2
0,1,1,1,0,1,3.0,80.0,0.0,0,1,2,5,2
0,1,1,1,0,1,3.0,59.56,0.0,0,1,2,5,2
0,1,0,0,0,1,3.0,57.69,0.0,0,1,3,4,2
0,1,1,0,0,1,3.0,101.11,0.0,0,4,2,2,1
0,1,1,1,0,1,1.0,95.0,0.0,0,3,2,3,3
0,2,1,0,0,1,3.0,90.0,0.0,0,4,2,4,3
0,1,0,0,0,1,1.0,44.44,0.0,0,1,2,4,2
0,1,1,0,0,1,3.0,76.0,0.0,0,6,2,3,2
1,1,1,0,0,1,3.0,92.67,0.0,0,6,2,1,3
1,1,1,0,0,1,3.0,83.47,0.0,0,2,2,4,3
0,1,1,1,0,1,1.0,76.17,1.0,0,2,2,5,2
0,3,1,0,0,1,4.0,288.46,0.0,0,2,3,4,1
1,1,1,1,0,1,2.0,39.72,0.0,0,1,2,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,95.0,0.0,0,1,1,4,3
0,1,1,0,0,1,4.0,60.0,0.0,0,1,3,4,2
0,1,0,0,0,1,3.0,98.94,0.0,0,6,1,1,4
0,1,0,1,0,1,1.0,90.0,0.0,0,3,2,4,3
1,1,0,0,0,1,2.0,80.0,0.0,0,3,2,2,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,2,5,2
