ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,0,1,0,1,4.0,65.291,0.0,0,4,1,3,2
0,1,0,1,0,1,2.0,86.127,0.0,0,3,2,3,3
0,3,1,0,0,1,4.0,86.438,0.0,0,4,2,2,3
0,1,1,1,0,1,4.0,87.727,0.0,0,3,2,4,3
0,1,0,1,0,1,2.0,88.439,0.0,0,3,2,3,3
0,1,0,0,0,1,3.0,42.411,0.0,0,5,3,2,2
0,1,1,0,0,1,2.0,10.681,0.0,0,2,3,4,2
0,1,1,0,0,1,4.0,30.412,0.0,0,5,3,3,2
0,1,0,0,0,1,4.0,59.051,0.0,0,6,2,2,2
0,3,1,0,0,1,3.0,65.341,0.0,0,4,2,2,2
1,2,1,0,0,1,4.0,31.25,0.0,0,5,3,4,2
0,1,0,0,0,1,4.0,76.088,0.0,0,5,2,3,2
0,3,0,0,0,1,4.0,93.029,0.0,0,6,3,2,3
0,1,1,0,0,1,4.0,113.578,0.0,0,5,1,3,1
0,1,1,0,0,1,2.0,97.146,0.0,0,4,3,4,4
0,1,1,0,0,1,4.0,115.3,0.0,0,5,3,3,1
0,3,0,0,0,1,2.0,87.68,0.0,0,6,2,4,3
0,1,0,0,0,1,4.0,89.706,0.0,0,6,2,3,3
0,3,1,0,0,1,2.0,98.061,0.0,0,6,2,1,4
0,1,0,0,0,1,4.0,96.302,0.0,0,6,2,4,3
0,1,1,0,0,1,4.0,102.825,0.0,0,6,3,2,1
0,2,1,0,0,1,2.0,9.262,0.0,0,6,2,2,2
0,1,0,1,0,1,3.0,58.065,0.0,0,3,3,1,2
0,1,1,0,0,1,4.0,92.295,0.0,0,2,2,4,3
0,1,1,0,0,1,4.0,46.584,0.0,0,2,2,4,2
0,3,0,0,0,1,4.0,106.598,0.0,0,6,3,3,1
0,1,1,0,0,1,2.0,100.59,0.0,0,6,2,2,1
1,1,1,0,0,1,4.0,17.5,0.0,0,2,2,2,2
0,1,0,0,0,1,4.0,54.21,0.0,0,6,2,1,2
0,1,1,0,0,1,2.0,49.587,0.0,0,6,2,2,2
0,1,1,0,0,1,4.0,49.648,0.0,0,6,3,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,3,2,2
0,1,1,0,0,2,3.0,100.0,0.0,0,6,3,3,4
0,1,1,1,0,2,3.0,101.558,0.0,0,4,3,3,1
0,1,0,1,0,1,1.0,80.0,0.0,0,4,3,2,2
0,3,1,1,0,2,1.0,100.0,0.0,0,5,2,2,4
0,1,0,1,0,2,1.0,100.0,0.0,0,4,2,3,4
0,1,1,1,0,1,3.0,25.862,0.0,0,4,3,3,2
0,2,0,1,0,1,3.0,75.0,0.0,0,2,2,4,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,4,3
0,1,1,1,0,1,2.0,78.475,1.0,1,3,2,4,2
0,1,1,1,0,2,1.0,100.0,0.0,0,3,3,3,4
0,1,1,0,0,1,3.0,80.0,0.0,0,5,3,3,2
0,3,0,1,0,1,3.0,80.0,0.0,0,4,2,2,2
0,1,0,1,0,1,4.0,63.18,1.0,0,5,3,3,2
0,1,1,1,0,1,3.0,25.32,0.0,0,1,3,4,2
0,1,1,1,0,1,1.0,80.0,0.0,0,4,1,2,2
0,1,1,0,0,1,1.0,75.0,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,90.0,0.0,0,2,2,4,3
0,1,1,1,0,1,3.0,74.074,0.0,0,4,3,4,2
0,1,1,0,0,1,1.0,90.0,0.0,0,4,2,4,3
0,1,0,0,0,1,3.0,80.0,0.0,0,3,3,4,2
0,1,1,1,0,1,3.0,79.091,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,97.0,0.0,0,2,1,2,4
0,1,1,1,0,1,1.0,90.0,0.0,0,5,2,3,3
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,3,2
0,1,1,1,0,1,1.0,60.0,0.0,0,3,2,5,2
0,1,0,1,0,1,3.0,47.368,0.0,0,4,2,1,2
0,1,1,1,0,1,3.0,80.0,0.0,0,4,2,3,2
0,3,1,1,0,1,3.0,94.25,0.0,0,3,2,4,3
0,1,1,1,0,1,3.0,73.609,0.0,0,2,2,4,2
0,1,1,1,0,1,1.0,59.77,0.0,0,4,2,4,2
0,1,0,1,0,1,1.0,80.0,0.0,0,2,2,4,2
1,1,1,1,0,1,1.0,80.0,0.0,0,3,2,4,2
