ethnicity,race,gender,action_taken,preapproval_requested,loan_type,loan_purpose,loan_to_value_ratio,interest_only_payment,balloon_payment,debt_to_income_ratio,age,income,derived_loan_to_value_ratio
0,1,0,1,0,1,1.0,95.0,0.0,0,1,3,4,3
0,1,0,1,0,1,1.0,100.427,0.0,1,4,1,1,1
0,1,0,1,0,1,1.0,100.428,0.0,1,4,3,2,1
0,3,0,1,0,1,1.0,100.427,0.0,0,5,1,2,1
0,1,1,1,0,1,3.0,78.298,0.0,0,1,1,4,2
0,1,1,1,0,2,1.0,100.0,0.0,0,1,3,1,4
1,1,1,1,0,1,1.0,101.85,0.0,0,4,2,2,1
0,1,1,1,0,1,1.0,97.0,0.0,0,1,1,2,4
0,1,0,1,0,3,1.0,101.01,0.0,0,4,1,3,1
0,1,0,1,0,1,1.0,102.391,0.0,0,4,2,2,1
0,1,1,0,0,2,1.0,100.0,0.0,0,6,2,3,4
0,3,1,1,0,1,1.0,80.0,0.0,0,2,2,2,2
0,1,1,1,0,1,1.0,97.0,0.0,0,1,1,3,4
0,1,0,1,0,1,1.0,68.037,0.0,0,4,3,3,2
0,1,0,1,0,1,1.0,80.0,0.0,0,4,2,2,2
0,1,1,1,0,1,1.0,90.0,0.0,0,3,1,2,3
0,1,1,1,0,2,1.0,71.123,0.0,0,4,3,1,2
0,1,1,1,0,1,3.0,63.899,0.0,0,4,1,2,2
0,1,0,1,0,1,1.0,93.659,0.0,0,2,1,3,3
1,1,1,1,0,1,1.0,97.0,0.0,0,4,1,2,4
0,1,1,0,0,2,1.0,100.0,0.0,0,6,3,1,4
0,1,0,1,0,1,3.0,80.0,0.0,0,4,3,3,2
1,1,0,1,0,1,1.0,97.0,0.0,0,2,1,2,4
0,1,1,1,0,1,3.0,79.231,0.0,0,2,2,4,2
0,1,0,1,0,1,1.0,102.391,0.0,0,4,3,3,1
0,1,0,1,0,1,1.0,5.4,0.0,0,4,1,1,2
0,2,0,1,0,1,1.0,100.917,0.0,0,5,2,1,1
1,1,1,1,0,1,3.0,69.444,0.0,0,4,2,3,2
0,1,0,1,0,1,1.0,97.0,0.0,0,4,2,3,4
0,1,1,1,0,2,1.0,100.0,0.0,0,1,2,4,4
0,1,1,1,0,1,1.0,80.0,0.0,0,3,2,3,2
0,1,0,1,0,1,1.0,78.051,0.0,0,4,2,2,2
1,1,1,1,0,1,1.0,97.0,0.0,0,4,1,2,4
0,1,0,1,0,1,3.0,71.583,0.0,0,4,3,4,2
0,1,1,1,0,1,1.0,95.0,0.0,0,4,1,2,3
0,1,0,1,1,1,1.0,97.0,0.0,0,2,2,3,4
0,1,1,1,0,1,3.0,60.631,0.0,0,3,2,3,2
0,1,1,1,0,2,1.0,100.0,0.0,0,4,1,3,4
1,1,1,1,0,1,1.0,97.0,0.0,0,4,1,3,4
